entry	contents_key	printed_span	scan_span	expected_kural_count	chapter_assignments	status
212	பகையகத்துப் பேடிகை	455–456	472–473	1	Ch 73 அவை அஞ்சாமை / 727	RESOLVED
213	வசையிலா வண்பயன்	457–458	474–475	1	Ch 24 புகழ் / 239	RESOLVED
214	இற்றிறந்தார் கண்ணேயும்	459–460	476–477	1	Ch 105 நல்குரவு / 1044	RESOLVED
215	கொடும்புருவம் கோடா	461–461	478–478	1	Ch 109 தகையணங்குறுத்தல் / 1086	RESOLVED
216	பணிவுடையன் இன்சொல்லன்	462–463	479–480	1	Ch 10 இனியவை கூறல் / 95	RESOLVED
217	நிலத்தியல்பால் நீர்திரிந்து	464–465	481–482	1	Ch 46 சிற்றினம் சேராமை / 452	RESOLVED
218	அறிதோறு அறியாமை	466–467	483–484	1	Ch 111 புணர்ச்சி மகிழ்தல் / 1110	RESOLVED
219	அங்கணத்துள் உக்க	468–469	485–486	1	Ch 72 அவை அறிதல் / 720	RESOLVED
220	ஐந்தவித்தான் ஆற்றல்	470–471	487–488	1	Ch 3 நீத்தார் பெருமை / 25	RESOLVED
221	சலத்தால் பொருள் செய்து	472–473	489–490	1	Ch 66 வினைத்தூய்மை / 660	RESOLVED
222	இன்பம் கடல்மற்று	474–475	491–492	1	Ch 117 படர்மெலிந்திரங்கல் / 1166	RESOLVED
223	கல்லாதான் சொற்கா	476–477	493–494	1	Ch 41 கல்லாமை / 402	RESOLVED
224	அன்பிற்கும் உண்டோ	478–479	495–496	1	Ch 8 அன்புடைமை / 71	RESOLVED
225	வினையால் வினையாக்கி	480–481	497–498	1	Ch 68 வினைசெயல்வகை / 678	RESOLVED
226	நிறையரியர் மன் அளியர்	482–483	499–500	1	Ch 114 நாணுத்துறவுரைத்தல் / 1138	RESOLVED
227	எதிரார் குற்றம் போல்	484–485	501–502	1	Ch 19 புறங்கூறாமை / 190	RESOLVED
228	உறாஅது தவர்போல்	486–487	503–504	1	Ch 110 குறிப்பறிதல் / 1096	RESOLVED
229	ஆக்கமுங் கேடும்	488–489	505–506	1	Ch 65 சொல் வன்மை / 642	RESOLVED
230	செற்றார்பின் செல்லா	490–491	507–508	1	Ch 126 நிறையழிதல் / 1255	RESOLVED
231	ஊழி பெயரினும்	492–493	509–510	1	Ch 99 சான்றாண்மை / 989	RESOLVED
232	உள்ளத்தார் காதலர்	494–495	511–512	1	Ch 125 நெஞ்சொடு கிளத்தல் / 1249	RESOLVED
233	துன்பம் உறவரினும்	496–498	513–515	1	Ch 67 வினைத்திட்பம் / 669	RESOLVED
234	கூற்றம் குதித்தலும்	499–500	516–517	1	Ch 27 தவம் / 269	RESOLVED
235	வெருவந்த செய் தொழுகும்	501–502	518–519	1	Ch 57 வெருவந்தசெய்யாமை / 563	RESOLVED
236	இனித்தக்க இன்னா	503–504	520–521	1	Ch 129 புணர்ச்சி விதும்பல் / 1288	RESOLVED
237	நாண்அகத் தில்லார்	505–506	522–523	1	Ch 102 நாணுடைமை / 1020	RESOLVED
238	எந்தன்றி கொன்றார்க்கும்	507–509	524–526	1	Ch 11 செய்ந்நன்றி அறிதல் / 110	RESOLVED
239	செவிகைப்பச் சொற்பொறுக்கும்	510–511	527–528	1	Ch 39 இறைமாட்சி / 389	RESOLVED
240	கண்டுகேட்டு உண்டுயிர்த்து	512–513	529–530	1	Ch 111 புணர்ச்சி மகிழ்தல் / 1101	RESOLVED
241	கருமம் செயவொருவன்	514–515	531–532	1	Ch 103 குடி செயல்வகை / 1021	RESOLVED
242	உரமொருவற்கு உள்ள	516–517	533–534	1	Ch 60 ஊக்கம் உடைமை / 600	RESOLVED
243	உயிர்உடம்பின் நீக்கியார்	518–519	535–536	1	Ch 33 கொல்லாமை / 330	RESOLVED
244	ஒளியார்முன் ஒள்ளிய	520–521	537–538	1	Ch 72 அவை அறிதல் / 714	RESOLVED
245	மிகுதியான் மிக்கவை	522–523	539–540	1	Ch 16 பொறையுடைமை / 158	RESOLVED
246	பண்ணென்னாம் பாடற்கு	524–525	541–542	1	Ch 58 கண்ணோட்டம் / 573	RESOLVED
247	உழந்துழந்து உள்நீர்	526–527	543–544	1	Ch 118 கண்விதுப்பழிதல் / 1177	RESOLVED
248	குடிசெய்வார்க்கு இல்லை	528–529	545–546	1	Ch 103 குடி செயல் வகை / 1028	RESOLVED
249	விருந்து புறத்ததா	530–531	547–548	1	Ch 9 விருந்தோம்பல் / 82	RESOLVED
250	உள்ளுவ தெல்லாம்	532–534	549–551	1	Ch 60 ஊக்கம் உடைமை / 596	RESOLVED
251	மலரன்ன கண்ணாள்	535–536	552–553	1	Ch 115 அலர் அறிவுறுத்தல் / 1142	RESOLVED
252	நிழல்நீரும் இன்னாத	537–538	554–555	1	Ch 89 உட்பகை / 881	RESOLVED
253	அ. இயற்றலும் ஈட்டலும் / ஆ. பகுத்துண்டு பல்லுயிர்	539–541	556–558	2	Ch 39 இறைமாட்சி / 385 || Ch 33 கொல்லாமை / 322	RESOLVED
254	காக்கை கரவா	542–543	559–560	1	Ch 53 சுற்றந்தழால் / 527	RESOLVED
255	மணியில் திகழ்தரு	544–546	561–563	1	Ch 128 குறிப்பறிவுறுத்தல் / 1273	RESOLVED
256	ஆகாறு அளவிட்டி	547–548	564–565	1	Ch 48 வலியறிதல் / 478	RESOLVED
257	மக்கள்மெய் தீண்டல்	549–550	566–567	1	Ch 7 மக்கட்பேறு / 65	RESOLVED
258	அ. உற்றவன் தீர்ப்பான் / ஆ. மருந்தென வேண்டாவாம் / இ. நோய்நாடி நோய்முதல்	551–552	568–569	3	Ch 95 மருந்து / 950, 942, 948	RESOLVED
259	மாலையோ அல்லை	553–554	570–571	1	Ch 123 பொழுதுகண்டு இரங்கல் / 1221	RESOLVED
260	மருவுக மாசற்றார்	555–556	572–573	1	Ch 80 நட்பாராய்தல் / 800	RESOLVED
261	கண்டொடு கண்ணிணை	557–559	574–576	1	Ch 110 குறிப்பறிதல் / 1100	RESOLVED
262	ஏந்திய கொள்கையார்	560–561	577–578	1	Ch 90 பெரியாரைப் பிழையாமை / 899	RESOLVED
263	தற்காத்துத் தற்கொண்டான்	562–563	579–580	1	Ch 6 வாழ்க்கைத் துணைநலம் / 56	RESOLVED
264	பிறப்பொக்கும் எல்லா	564–565	581–582	1	Ch 98 பெருமை / 972	RESOLVED
265	இம்மைப் பிறப்பில்	566–567	583–584	1	Ch 132 புலவி நுணுக்கம் / 1315	RESOLVED
266	நிலத்தில் கிடந்தமை	568–569	585–586	1	Ch 96 குடிமை / 959	RESOLVED
267	சொற்கோட்டம் இல்லது	570–571	587–588	1	Ch 12 நடுவு நிலைமை / 119	RESOLVED
268	கல்லாத மேற்கொண்டு	572–573	589–590	1	Ch 85 புல்லறிவாண்மை / 845	RESOLVED
269	உப்பாடு இலாதவர்	574–575	591–592	1	Ch 89 உட்பகை / 890	RESOLVED
270	பழியஞ்சிப் பாத்தூண்	576–577	593–594	1	Ch 5 இல்வாழ்வியல் / 44	RESOLVED
271	செய்யக்க அல்ல	578–579	595–596	1	Ch 47 தெரிந்து செயல்வகை / 466	RESOLVED
272	இடுக்கட் படினும்	580–581	597–598	1	Ch 66 வினைத்தூய்மை / 654	RESOLVED
273	எள்ளாமை வேண்டுவான்	582–583	599–600	1	Ch 29 கள்ளாமை / 281	RESOLVED
274	செப்பின் புணர்ச்சி போல்	584–585	601–602	1	Ch 89 உட்பகை / 887	RESOLVED
275	ஊரவர் கொளவை	586–587	603–604	1	Ch 115 அலர் அறிவுறுத்தல் / 1147	RESOLVED
276	ஒட்டார்பின் சென்றொருவன்	588–590	605–607	1	Ch 97 மானம் / 967	RESOLVED
277	நிலையில் திரியாது	591–592	608–609	1	Ch 13 அடக்கமுடைமை / 124	RESOLVED
278	தாங்குக தாங்கி	593–595	610–612	1	Ch 68 வினைசெயல்வகை / 672	RESOLVED
279	எனைத்தொன்று இனிதேகாண்	596–597	613–614	1	Ch 121 நினைந்தவர் புலம்பல் / 1202	RESOLVED
280	முறைப்படச் சூழ்ந்தும்	598–599	615–616	1	Ch 64 அமைச்சு / 640	RESOLVED
281	உலகத்தோடு ஒட்ட	600–601	617–618	1	Ch 14 ஒழுக்கமுடைமை / 140	RESOLVED
282	அ. அடுத்தது காட்டும் / ஆ. நுண்ணியம் என்பார்	602–603	619–620	2	Ch 71 குறிப்பறிதல் / 706, 710	RESOLVED
283	முகைமொக்குள் உள்ளது	604–605	621–622	1	Ch 128 குறிப்பறிவுறுத்தல் / 1274	RESOLVED
284	அமரகத்து வன் கண்ணர்	606–607	623–624	1	Ch 103 குடிசெயல்வகை / 1027	RESOLVED
285	பெறுமவற்றுள் யாமறிவது	608–609	625–626	1	Ch 7 மக்கட்பேறு / 61	RESOLVED
286	இகழ்ச்சியின் கெட்டாரை	610–611	627–628	1	Ch 54 பொச்சாவாமை / 539	RESOLVED
287	நெஞ்சத்தார் காதல்	612–613	629–630	1	Ch 113 காதற் சிறப்புரைத்தல் / 1128	RESOLVED
288	ஈர்ங்கை விதிரார்	614–615	631–632	1	Ch 108 கயமை / 1077	RESOLVED
289	அஞ்சுவ தோரும்	616–617	633–634	1	Ch 37 அவா அறுத்தல் / 366	RESOLVED
290	அறனிழுக்கா தல்லவை	618–619	635–636	1	Ch 39 இறைமாட்சி / 384	RESOLVED
291	பரிந்தவர் நல்காரென்று	620–621	637–638	1	Ch 125 நெஞ்சொடு கிளத்தல் / 1248	RESOLVED
292	எனைமாட்சித் தாகிய	622–623	639–640	1	Ch 75 அரண் / 750	RESOLVED
293	அ. கொல்லான் புலாலை / ஆ. அவிசொரிந் தாயிரம்	624–625	641–642	2	Ch 26 புலால் மறுத்தல் / 260, 259	RESOLVED
294	சிற்றினம் அஞ்சும்	626–627	643–644	1	Ch 46 சிற்றினம் சேராமை / 451	RESOLVED
295	வாழ்தல் உயிர்க்கன்னள்	628–630	645–647	1	Ch 113 காதற் சிறப்புரைத்தல் / 1124	RESOLVED
296	குன்றின் அனையாரும்	631–632	648–649	1	Ch 97 மானம் / 965	RESOLVED
297	காதலர் தூதொடு	633–634	650–651	1	Ch 122 கனவுநிலை உரைத்தல் / 1211	RESOLVED
298	புகழ்புரிந்த இல்லிலோர்க்கு	635–636	652–653	1	Ch 6 வாழ்க்கைத் துணைநலம் / 59	RESOLVED
299	பெரிதாற்றிப் பெட்ப	637–638	654–655	1	Ch 128 குறிப்பறிவுறுத்தல் / 1276	RESOLVED
300	நெருநல் உளனொருவன்	639–640	656–657	1	Ch 34 நிலையாமை / 336	RESOLVED
