entry	contents_key	printed_start	printed_end	scan_start	scan_end	expected_kural_count	status	chapter_numbers	kural_numbers	leaf_path
265	இம்மைப் பிறப்பில்	566	567	583	584	1	RESOLVED	132	1315	entry-265.md
266	நிலத்தில் கிடந்தமை	568	569	585	586	1	RESOLVED	96	959	entry-266.md
267	சொற்கோட்டம் இல்லது	570	571	587	588	1	RESOLVED	12	119	entry-267.md
268	கல்லாத மேற்கொண்டு	572	573	589	590	1	RESOLVED	85	845	entry-268.md
269	உப்பாடு இலாதவர்	574	575	591	592	1	RESOLVED	89	890	entry-269.md
270	பழியஞ்சிப் பாத்தூண்	576	577	593	594	1	RESOLVED	5	44	entry-270.md
271	செய்யக்க அல்ல	578	579	595	596	1	RESOLVED	47	466	entry-271.md
272	இடுக்கட் படினும்	580	581	597	598	1	RESOLVED	66	654	entry-272.md
273	எள்ளாமை வேண்டுவான்	582	583	599	600	1	RESOLVED	29	281	entry-273.md
274	செப்பின் புணர்ச்சி போல்	584	585	601	602	1	RESOLVED	89	887	entry-274.md
275	ஊரவர் கொளவை	586	587	603	604	1	RESOLVED	115	1147	entry-275.md
276	ஒட்டார்பின் சென்றொருவன்	588	590	605	607	1	RESOLVED	97	967	entry-276.md
277	நிலையில் திரியாது	591	592	608	609	1	RESOLVED	13	124	entry-277.md
278	தாங்குக தாங்கி	593	595	610	612	1	RESOLVED	68	672	entry-278.md
279	எனைத்தொன்று இனிதேகாண்	596	597	613	614	1	RESOLVED	121	1202	entry-279.md
280	முறைப்படச் சூழ்ந்தும்	598	599	615	616	1	RESOLVED	64	640	entry-280.md
281	உலகத்தோடு ஒட்ட	600	601	617	618	1	RESOLVED	14	140	entry-281.md
282	அ. அடுத்தது காட்டும் / ஆ. நுண்ணியம் என்பார்	602	603	619	620	2	RESOLVED	71	706,710	entry-282.md
283	முகைமொக்குள் உள்ளது	604	605	621	622	1	RESOLVED	128	1274	entry-283.md
284	அமரகத்து வன் கண்ணர்	606	607	623	624	1	RESOLVED	103	1027	entry-284.md
285	பெறுமவற்றுள் யாமறிவது	608	609	625	626	1	RESOLVED	7	61	entry-285.md
286	இகழ்ச்சியின் கெட்டாரை	610	611	627	628	1	RESOLVED	54	539	entry-286.md
287	நெஞ்சத்தார் காதல்	612	613	629	630	1	RESOLVED	113	1128	entry-287.md
288	ஈர்ங்கை விதிரார்	614	615	631	632	1	RESOLVED	108	1077	entry-288.md
289	அஞ்சுவ தோரும்	616	617	633	634	1	RESOLVED	37	366	entry-289.md
290	அறனிழுக்கா தல்லவை	618	619	635	636	1	RESOLVED	39	384	entry-290.md
291	பரிந்தவர் நல்காரென்று	620	621	637	638	1	RESOLVED	125	1248	entry-291.md
292	எனைமாட்சித் தாகிய	622	623	639	640	1	RESOLVED	75	750	entry-292.md
293	அ. கொல்லான் புலாலை / ஆ. அவிசொரிந் தாயிரம்	624	625	641	642	2	RESOLVED	26	260,259	entry-293.md
294	சிற்றினம் அஞ்சும்	626	627	643	644	1	RESOLVED	46	451	entry-294.md
295	வாழ்தல் உயிர்க்கன்னள்	628	630	645	647	1	RESOLVED	113	1124	entry-295.md
296	குன்றின் அனையாரும்	631	632	648	649	1	RESOLVED	97	965	entry-296.md
297	காதலர் தூதொடு	633	634	650	651	1	RESOLVED	122	1211	entry-297.md
298	புகழ்புரிந்த இல்லிலோர்க்கு	635	636	652	653	1	RESOLVED	6	59	entry-298.md
299	பெரிதாற்றிப் பெட்ப	637	638	654	655	1	RESOLVED	128	1276	entry-299.md
300	நெருநல் உளனொருவன்	639	640	656	657	1	RESOLVED	34	336	entry-300.md
